row_id;year_mid;Newbmag;bmag;vmag;vmagold;bmagerr;vmagerr;color_term;ut_start;jd_start;jd_mid;exptime;annular_bin;raj2000;dej2000;PHASE
833;1954.82138376;10.8022;10.8022;10.4112;10.4112;0.263471;0.358747;0.727922;10/28/54 12:00 AM;2435045;2435043.51042;1800;6;298.638767717;33.0010537017;#WERT!
923;1955.71118526;10.7567;10.7567;10.3657;10.3657;0.263561;0.362246;0.737438;09/18/55 12:00 AM;2435369;2435368.51042;1800;6;298.63881;33.0009946974;#WERT!
590;1950.71156374;10.9282;10.9282;10.5372;10.5372;0.263917;0.502814;1.20423;09/17/50 09:14 PM;2433542.3848;2433542.39866;2400;6;298.639233285;33.0013693764;#WERT!
337;1938.74179041;11.1867;11.1867;10.7957;10.7957;0.26396;0.383073;0.79631;09/28/38 10:19 PM;2429170.42994;2429170.43895;1560;7;298.639224353;33.0014854886;#WERT!
683;1953.608308;10.9421;10.9421;10.5511;10.5511;0.264615;0.379848;0.785519;08/10/53 10:05 PM;2434600.42065;2434600.4345;2400;6;298.639407161;33.0013405255;#WERT!
1039;1960.53801145;11076;11.076;10.685;10685;0.264632;0.339995;0.67519;07/16/60 12:00 AM;2437133;2437131.50868;1500;8;298.639646847;33.0015599953;#WERT!
692;1953.61367015;10931;10.931;10.54;10.54;0.26491;0.364175;0.740084;08/12/53 09:06 PM;2434602.37917;2434602.39302;2400;6;298.639316619;33.0012151562;#WERT!
816;1954.71734543;10.8564;10.8564;10.4654;10.4654;0.264935;0.400189;0.84587;09/20/54 12:00 AM;2435007;2435005.51042;1800;6;298.638683266;33.0014115275;#WERT!
37;1928.78113839;10.9841;10.9841;10.5931;10.5931;0.265153;0.431986;0.947159;10/12/28 07:12 PM;2425532.30041;2425532.3108;1800;8;298.638973172;33.0015079775;#WERT!
678;1953.608308;10.9821;10.9821;10.5911;10.5911;0.265257;0.375214;0.770757;08/10/53 10:05 PM;2434600.42065;2434600.4345;2400;6;298.639459759;33.0014045112;#WERT!
1005;1955.88366986;10.9247;10.9247;10.5337;10.5337;0.265299;0.331816;0.652705;11/20/55 12:00 AM;2435433;2435431.51042;1800;6;298.639079758;33.0015695335;#WERT!
1076;1960.79538368;11.1495;11.1495;10.7585;10.7585;0.265364;0.405635;0.861867;10/18/60 12:00 AM;2437227;2437225.51389;2400;6;298.639127054;33.0014765245;#WERT!
1144;1962.74969917;10.8926;10.8926;10.5016;10.5016;0.265511;0.33559;0.661956;10/01/62 07:36 PM;2437939.31723;2437939.32762;1800;8;298.638699586;33.00142018;#WERT!
