bmag CLEAN,vmag CLEAN,PHASE,Phase+DELTA
12.1757,11.9017,0.8358942442,0.8358942442
12.0758,11.8018,0.8358942442,0.8358942442
12.55,12.276,0.2162467636,0.2162467636
12.8862,12.6122,0.2162467636,0.2162467636
12.1449,11.8709,0.1358394742,0.1358394742
12.144,11.87,0.1358394742,0.1358394742
12.1445,11.8705,0.6410077673,0.6410077673
12.0725,11.7985,0.6410077673,0.6410077673
12.1562,11.8822,0.1241137224,0.1241137224
12.1328,11.8588,0.1241137224,0.1241137224
12.057,11.783,0.0474905397,0.0474905397
11.8881,11.6141,0.0626767577,0.0626767577
11.9924,11.7184,0.0626767577,0.0626767577
11.8724,11.5984,0.0474905397,0.0474905397
12.176,11.902,0.5488647679,0.5488647679
12.1867,11.9127,0.5488647679,0.5488647679
11.9566,11.6826,0.0423122885,0.0423122885
12.0101,11.7361,0.0423122885,0.0423122885
12.4232,12.1492,0.5604710219,0.5604710219
12.1832,11.9092,0.5604710219,0.5604710219
12.3225,12.0485,0.9889762996,0.9889762996
12.3539,12.0799,0.9889762996,0.9889762996
12.2401,11.9661,0.5067217687,0.5067217687
12.161,11.887,0.5067217687,0.5067217687
11.6416,11.3676,0.1528281219,0.1528281219
12.2711,11.9971,0.4942840074,0.4942840074
12.3463,12.0723,0.1509261102,0.1509261102
11.6189,11.3449,0.1528281219,0.1528281219
12.2705,11.9965,0.1509261102,0.1509261102
12.1256,11.8516,0.4942840074,0.4942840074
12.3294,12.0554,0.3317665803,0.3317665803
12.3012,12.0272,0.3317665803,0.3317665803
12.061,11.787,0.8109042024,0.8109042024
12.1001,11.8261,0.8109042024,0.8109042024
12.1722,11.8982,0.8307309302,0.8307309302
12.1939,11.9199,0.8307309302,0.8307309302
12.3073,12.0333,0.3083150766,0.3083150766
12.3581,12.0841,0.3083150766,0.3083150766
12.3844,12.1104,0.805900219,0.805900219
12.3146,12.0406,0.805900219,0.805900219
12.6169,12.3429,0.3043417646,0.3043417646
12.5152,12.2412,0.3043417646,0.3043417646
12.3345,12.0605,0.8022704642,0.8022704642
12.3208,12.0468,0.8022704642,0.8022704642
12.6207,12.3467,0.3084744074,0.3084744074
12.546,12.272,0.3084744074,0.3084744074
12.2029,11.9289,0.8156293568,0.8156293568
12.0636,11.7896,0.8156293568,0.8156293568
12.1713,11.8973,0.3407140011,0.3407140011
12.2456,11.9716,0.3407140011,0.3407140011
12.2965,12.0225,0.828296156,0.828296156
12.2595,11.9855,0.828296156,0.828296156
