"row_id","jd_mid","bmag","plate_id","filename_preview"
"549","2433498.40557","10.879","6682","LA07137_pre.jpg"
"550","2433498.40557","10.9113","6682","LA07137_pre.jpg"
"551","2433487.49689","10.7551","6680","LA07135_pre.jpg"
"552","2433487.49689","10.7501","6680","LA07135_pre.jpg"
"553","2433504.43663","10.9431","6726","LA07182_pre.jpg"
"554","2433504.43663","10.9812","6726","LA07182_pre.jpg"
"555","2433504.50657","10.7763","6728","LA07184_pre.jpg"
"556","2433504.402","10.9069","6724","LA07180_pre.jpg"
"557","2433504.402","10.8569","6724","LA07180_pre.jpg"
"558","2433504.50657","10.8137","6728","LA07184_pre.jpg"
"559","2433504.47126","10.8226","6727","LA07183_pre.jpg"
"560","2433504.47126","10.8781","6727","LA07183_pre.jpg"
"561","2433506.43116","11.2832","6749","LA07204_pre.jpg"
"562","2433506.43116","11.2794","6749","LA07204_pre.jpg"
"563","2433506.39677","11.3561","6748","LA07203_pre.jpg"
"564","2433506.39677","11.3615","6748","LA07203_pre.jpg"
"565","2433512.38708","10.8098","6750","LA07205_pre.jpg"
"566","2433512.38708","10.8591","6750","LA07205_pre.jpg"
"567","2433512.50204","10.8924","6751","LA07206_pre.jpg"
"568","2433512.50204","10.817","6751","LA07206_pre.jpg"
"569","2433514.43287","10.8569","6753","LA07208_pre.jpg"
"570","2433514.43287","10.891","6753","LA07208_pre.jpg"
"571","2433534.34293","10.9089","6754","LA07209_pre.jpg"
"572","2433534.34293","10.9336","6754","LA07209_pre.jpg"
"573","2433538.32751","11.0194","6755","LA07210_pre.jpg"
"574","2433538.37773","11.0073","6756","LA07211_pre.jpg"
"575","2433538.37773","11.0608","6756","LA07211_pre.jpg"
"576","2433538.32751","11.0085","6755","LA07210_pre.jpg"
"577","2433538.41374","11.3801","6757","LA07212_pre.jpg"
"578","2433538.41374","11.4091","6757","LA07212_pre.jpg"
"579","2433542.36057","10.9536","6772","LA07229_pre.jpg"
"580","2433542.32317","10.9714","6771","LA07228_pre.jpg"
"581","2433542.36057","10.9733","6772","LA07229_pre.jpg"
"582","2433542.32317","10.97","6771","LA07228_pre.jpg"
"583","2433542.39866","10.9334","6773","LA07230_pre.jpg"
"584","2433542.39866","10.9282","6773","LA07230_pre.jpg"
"585","2433891.4527","10.8688","7020","LA07485_pre.jpg"
"586","2433891.4527","10.8719","7020","LA07485_pre.jpg"
"587","2433893.36067","10.9647","7024","LA07489_pre.jpg"
"588","2433893.36067","10.9908","7024","LA07489_pre.jpg"
"589","2433893.39392","10.9777","7025","LA07490_pre.jpg"
"590","2433893.42578","10.9612","7026","LA07491_pre.jpg"
"591","2433893.39392","10.9855","7025","LA07490_pre.jpg"
"592","2433895.40369","11.1345","7030","LA07495_pre.jpg"
"593","2433895.40369","11.1324","7030","LA07495_pre.jpg"
"594","2433893.42578","10.9511","7026","LA07491_pre.jpg"
"595","2433922.32789","11.0143","7085","LA07552_pre.jpg"
"596","2433922.32789","11.0135","7085","LA07552_pre.jpg"
"597","2433922.39022","10.9189","7087","LA07554_pre.jpg"
"598","2433922.35906","10.8807","7086","LA07553_pre.jpg"
"599","2433922.39022","10.9476","7087","LA07554_pre.jpg"
"600","2433922.35906","10.8975","7086","LA07553_pre.jpg"
"601","2433924.3117","10.8997","7110","LA07576_pre.jpg"
"602","2433924.3117","10.9287","7110","LA07576_pre.jpg"
"603","2433924.40138","10.9208","7116","LA07582_pre.jpg"
"604","2433924.37021","10.8916","7115","LA07581_pre.jpg"
"605","2433924.37021","10.9152","7115","LA07581_pre.jpg"
"606","2433924.40138","10.9626","7116","LA07582_pre.jpg"
"607","2433926.30104","11.02","7140","LA07606_pre.jpg"
"608","2433926.30104","10.989","7140","LA07606_pre.jpg"
"609","2433926.38726","10.8913","7145","LA07611_pre.jpg"
"610","2433926.27125","10.965","7139","LA07605_pre.jpg"
"611","2433926.27125","10.9802","7139","LA07605_pre.jpg"
"612","2433926.38726","10.8889","7145","LA07611_pre.jpg"
"613","2433926.41739","10.8355","7146","LA07612_pre.jpg"
"614","2433926.41739","10.8596","7146","LA07612_pre.jpg"
"615","2433927.29138","10.9971","7149","LA07615_pre.jpg"
"616","2433927.40808","11.1812","7153","LA07619_pre.jpg"
"617","2433927.40808","11.2129","7153","LA07619_pre.jpg"
"618","2433927.29138","11.0478","7149","LA07615_pre.jpg"
"619","2434119.49501","10.9957","7293","LA07760_pre.jpg"
"620","2434119.52549","10.9601","7294","LA07761_pre.jpg"
"621","2434119.52549","11.0092","7294","LA07761_pre.jpg"
"622","2434121.51933","11.3083","7305","LA07772_pre.jpg"
"623","2434121.51933","11.2854","7305","LA07772_pre.jpg"
"624","2434121.55569","11.0398","7306","LA07773_pre.jpg"
"625","2434122.51729","11.0833","7307","LA07774_pre.jpg"
"626","2434122.55435","11.0282","7308","LA07775_pre.jpg"
"627","2434121.55569","11.0571","7306","LA07773_pre.jpg"
"628","2434122.55435","11.0427","7308","LA07775_pre.jpg"
"629","2434132.50453","10.8873","7315","LA07782_pre.jpg"
"630","2434132.50453","10.9114","7315","LA07782_pre.jpg"
"631","2434133.47895","11.0673","7316","LA07783_pre.jpg"
"632","2434133.47895","11.0861","7316","LA07783_pre.jpg"
"633","2434133.51219","11.071","7317","LA07784_pre.jpg"
"634","2434134.47345","10.912","7318","LA07785_pre.jpg"
"635","2434134.50738","11.0027","7319","LA07786_pre.jpg"
"636","2434134.50738","10.9545","7319","LA07786_pre.jpg"
"637","2434150.49763","11.1395","7320","LA07787_pre.jpg"
"638","2434150.49763","11.1336","7320","LA07787_pre.jpg"
"639","2434150.53087","10.9851","7321","LA07788_pre.jpg"
"640","2434152.52749","10.9412","7330","LA07798_pre.jpg"
"641","2434152.52749","10.9814","7330","LA07798_pre.jpg"
